loteamento;quadra;lote;rua_frente;medida_frente_m;medida_fundo_m;medida_lateral_dir_m;medida_lateral_esq_m;area_m2;conf_frente;conf_fundo;conf_lateral_dir;conf_lateral_esq
Residencial Colina Park;43;45;RUA ALIMENTADORA 10;10.0;10.0;25.0;25.0;250.0;;;;
Residencial Colina Park;43;46;RUA ALIMENTADORA 10;9.96;10.0;25.0;25.0;249.54;;;;
Residencial Colina Park;44;01;AVENIDA 03;22.34;;;;277.21;;;;
Residencial Colina Park;44;02;AVENIDA 03;27.11;27.11;12.0;12.0;325.29;;;;
Residencial Colina Park;44;03;AVENIDA 03;12.0;;;;325.29;;;;
Residencial Colina Park;44;04;RUA ALIMENTADORA 10;12.11;;;;363.86;;;;
Residencial Colina Park;44;05;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;06;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;07;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;08;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;09;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;10;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;11;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;12;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;13;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;14;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;15;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;16;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;17;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;18;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;19;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;20;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;21;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;22;RUA ALIMENTADORA 10;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;44;23;AVENIDA 03;10.08;10.0;32.78;31.48;321.28;;;;
Residencial Colina Park;44;24;AVENIDA 03;10.09;10.0;31.48;30.17;308.26;;;;
Residencial Colina Park;44;25;RUA ALIMENTADORA 10;20.0;;;;364.68;;;;
Residencial Colina Park;44;26;AVENIDA 03;20.21;;;;324.07;;;;
Residencial Colina Park;44;27;AVENIDA 03;20.17;;;;241.65;;;;
Residencial Colina Park;44;28;AVENIDA 03;20.17;;;;293.76;;;;
Residencial Colina Park;44;29;AVENIDA 03;19.16;;;;327.34;;;;
Residencial Colina Park;44;30;AVENIDA 03;11.09;11.0;19.9;18.47;211.01;;;;
Residencial Colina Park;44;31;AVENIDA 03;10.08;10.0;21.2;19.9;205.5;;;;
Residencial Colina Park;44;32;AVENIDA 03;10.08;10.0;22.5;21.2;218.53;;;;
Residencial Colina Park;44;33;AVENIDA 03;10.09;10.0;23.81;22.5;231.56;;;;
Residencial Colina Park;44;34;AVENIDA 03;10.08;10.0;25.11;23.81;244.58;;;;
Residencial Colina Park;44;35;AVENIDA 03;10.08;10.0;26.41;25.11;257.61;;;;
Residencial Colina Park;44;36;AVENIDA 03;10.09;10.0;27.72;26.41;270.64;;;;
Residencial Colina Park;44;37;AVENIDA 03;10.08;10.0;29.02;27.72;283.67;;;;
Residencial Colina Park;44;38;AVENIDA 03;10.08;10.0;30.32;29.02;296.69;;;;
Residencial Colina Park;44;39;AVENIDA 03;10.08;10.0;31.62;30.32;309.72;;;;
Residencial Colina Park;44;40;AVENIDA 03;10.08;;;;322.75;;;;
Residencial Colina Park;45;01;RUA ALIMENTADORA 09;20.0;;;;312.5;;;;
Residencial Colina Park;45;02;AVENIDA 03;12.0;;;;300.0;;;;
Residencial Colina Park;45;03;AVENIDA 03;12.0;;;;300.0;;;;
Residencial Colina Park;45;04;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;05;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;06;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;07;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;08;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;09;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;10;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;11;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;12;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;13;AVENIDA 03;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;14;AVENIDA 03;20.21;;;;461.41;;;;
Residencial Colina Park;45;15;AVENIDA 03;12.1;12.0;22.14;20.58;256.35;;;;
Residencial Colina Park;45;16;RUA LOCAL 19;18.84;;;;286.48;;;;
Residencial Colina Park;45;17;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;18;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;19;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;20;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;21;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;22;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;23;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;24;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;25;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;26;RUA LOCAL 19;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;45;27;RUA LOCAL 19;12.0;;;;300.0;;;;
Residencial Colina Park;45;28;RUA LOCAL 19;20.0;;;;312.5;;;;
Residencial Colina Park;45;29;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;46;01;RUA LOCAL 19;18.0;;;;263.5;;;;
Residencial Colina Park;46;02;RUA LOCAL 19;10.0;;;;220.0;;;;
Residencial Colina Park;46;03;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;04;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;05;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;06;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;07;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;10;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;11;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;12;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;13;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;14;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;15;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;16;RUA LOCAL 19;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;17;AVENIDA 03;17.19;;;;225.95;;;;
Residencial Colina Park;46;18;AVENIDA 03;17.19;;;;289.0;;;;
Residencial Colina Park;46;19;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;20;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;21;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;22;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;23;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;24;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;25;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;28;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;29;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;30;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;31;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;32;RUA LOCAL 20;10.0;10.0;22.0;22.0;220.0;;;;
Residencial Colina Park;46;33;RUA LOCAL 20;10.0;;;;220.0;;;;
Residencial Colina Park;46;34;RUA LOCAL 20;18.0;;;;263.5;;;;
Residencial Colina Park;46;35;RUA ALIMENTADORA 09;10.0;10.0;23.0;23.0;230.0;;;;
Residencial Colina Park;46;36;RUA ALIMENTADORA 09;10.0;10.0;23.0;23.0;230.0;;;;
Residencial Colina Park;47;01;RUA ALIMENTADORA 09;15.0;;;;247.5;;;;
Residencial Colina Park;47;02;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;03;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;04;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;05;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;06;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;07;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;08;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;11;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;12;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;13;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;14;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;15;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;16;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;17;RUA LOCAL 20;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;18;RUA LOCAL 20;11.7;;;;234.12;;;;
Residencial Colina Park;47;19;AVENIDA 03;12.1;12.0;20.08;18.52;231.62;;;;
Residencial Colina Park;47;20;RUA LOCAL 21;16.91;;;;281.54;;;;
Residencial Colina Park;47;21;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;22;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;23;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;24;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;25;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;26;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;27;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;30;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;31;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;32;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;33;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;34;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;35;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;36;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;47;37;RUA ALIMENTADORA 09;15.0;;;;247.5;;;;
Residencial Colina Park;48;01;RUA ALIMENTADORA 09;15.0;;;;247.5;;;;
Residencial Colina Park;48;02;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;03;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;04;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;05;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;06;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;07;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;08;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;09;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;10;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;11;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;12;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;13;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;14;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;15;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;16;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;17;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;18;RUA LOCAL 21;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;19;AVENIDA 03;10.13;;;;204.31;;;;
Residencial Colina Park;48;20;AVENIDA 03;12.1;12.07;16.99;15.42;195.05;;;;
Residencial Colina Park;48;21;RUA ALIMENTADORA 12;13.68;;;;218.87;;;;
Residencial Colina Park;48;22;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;23;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;24;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;25;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;26;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;27;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;28;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;29;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;30;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;31;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;32;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;33;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;34;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;35;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;36;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;37;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;38;RUA ALIMENTADORA 12;10.0;10.0;20.0;20.0;200.0;;;;
Residencial Colina Park;48;39;RUA ALIMENTADORA 09;15.0;;;;247.5;;;;
Residencial Colina Park;49;01;AVENIDA 02;15.2;15.04;21.92;21.95;331.68;;;;
Residencial Colina Park;49;02;RUA ALIMENTADORA 12;16.95;;;;270.57;;;;
Residencial Colina Park;49;03;RUA ALIMENTADORA 12;10.0;10.0;27.83;27.93;278.78;;;;
Residencial Colina Park;49;04;RUA ALIMENTADORA 12;10.0;10.0;27.72;27.83;277.74;;;;
Residencial Colina Park;49;05;RUA ALIMENTADORA 12;10.0;10.0;27.62;27.72;276.7;;;;
Residencial Colina Park;49;06;RUA ALIMENTADORA 12;10.0;10.0;27.51;27.62;275.65;;;;
Residencial Colina Park;49;07;RUA ALIMENTADORA 12;10.0;;;;274.68;;;;
Residencial Colina Park;49;08;RUA ALIMENTADORA 12;10.0;10.0;27.35;27.43;273.91;;;;
Residencial Colina Park;49;09;RUA ALIMENTADORA 12;10.0;10.0;27.28;27.35;273.15;;;;
Residencial Colina Park;49;10;RUA ALIMENTADORA 12;10.0;10.0;27.2;27.28;272.4;;;;
Residencial Colina Park;49;11;RUA ALIMENTADORA 12;10.0;10.0;27.13;27.2;271.64;;;;
Residencial Colina Park;49;12;RUA ALIMENTADORA 12;10.0;;;;270.8;;;;
Residencial Colina Park;49;13;RUA ALIMENTADORA 12;10.0;10.0;26.86;27.01;269.39;;;;
Residencial Colina Park;49;14;RUA ALIMENTADORA 12;10.0;10.0;26.71;26.86;267.89;;;;
Residencial Colina Park;49;15;RUA ALIMENTADORA 12;10.0;10.0;26.56;26.71;266.39;;;;
Residencial Colina Park;49;16;RUA ALIMENTADORA 12;10.0;;;;265.01;;;;
Residencial Colina Park;49;17;RUA ALIMENTADORA 12;10.0;10.0;26.6;26.49;265.44;;;;
Residencial Colina Park;49;18;RUA ALIMENTADORA 12;10.0;;;;265.62;;;;
Residencial Colina Park;49;19;RUA ALIMENTADORA 12;10.0;10.0;26.44;26.52;264.8;;;;
Residencial Colina Park;49;20;RUA ALIMENTADORA 12;10.0;10.0;26.36;26.44;263.97;;;;
Residencial Colina Park;49;21;RUA ALIMENTADORA 12;10.0;10.0;26.27;26.36;263.14;;;;
Residencial Colina Park;49;22;RUA ALIMENTADORA 12;10.0;;;;262.21;;;;
Residencial Colina Park;49;23;RUA ALIMENTADORA 12;10.0;10.0;26.04;26.16;261.03;;;;
Residencial Colina Park;49;24;RUA ALIMENTADORA 12;10.0;10.0;25.92;26.04;259.84;;;;
Residencial Colina Park;49;25;RUA ALIMENTADORA 12;10.0;;;;258.47;;;;
Residencial Colina Park;49;26;AVENIDA 03;20.71;;;;371.51;;;;
Residencial Colina Park;50;01;RUA ALIMENTADORA 12;20.0;;;;365.19;;;;
Residencial Colina Park;50;02;AVENIDA 02;12.95;12.95;25.0;25.0;323.65;;;;
Residencial Colina Park;50;03;AVENIDA 02;13.05;13.05;25.0;25.0;326.35;;;;
Residencial Colina Park;50;04;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;05;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;06;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;07;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;08;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;09;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;10;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;11;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;12;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;13;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;14;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;15;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;16;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;17;AVENIDA 03;20.0;;;;309.81;;;;
Residencial Colina Park;50;18;AVENIDA 03;12.0;12.0;24.89;24.89;298.71;;;;
Residencial Colina Park;50;19;RUA ALIMENTADORA 09;19.89;;;;311.1;;;;
Residencial Colina Park;50;20;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;21;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;22;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;23;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;24;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;25;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;26;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;27;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;28;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;29;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;30;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;31;RUA ALIMENTADORA 09;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;50;32;RUA ALIMENTADORA 09;14.25;14.25;25.0;25.0;356.15;;;;
Residencial Colina Park;50;33;RUA ALIMENTADORA 09;21.86;;;;336.72;;;;
Residencial Colina Park;50;34;RUA ALIMENTADORA 12;12.02;12.0;26.86;26.86;322.58;;;;
Residencial Colina Park;51;01;RUA LOCAL 25;20.0;;;;334.76;;;;
Residencial Colina Park;51;02;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;03;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;04;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;05;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;06;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;07;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;08;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;09;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;10;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;11;AVENIDA 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;12;RUA ALIMENTADORA 12;20.0;;;;340.23;;;;
Residencial Colina Park;51;13;RUA ALIMENTADORA 12;12.0;12.0;26.11;26.11;313.27;;;;
Residencial Colina Park;51;14;RUA LOCAL 22;21.11;;;;326.92;;;;
Residencial Colina Park;51;15;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;16;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;17;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;18;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;19;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;20;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;21;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;22;RUA LOCAL 22;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;51;23;RUA LOCAL 22;20.89;;;;324.1;;;;
Residencial Colina Park;51;24;RUA LOCAL 25;11.98;;;;310.57;;;;
Residencial Colina Park;52;01;RUA LOCAL 16;21.0;;;;286.5;;;;
Residencial Colina Park;52;02;RUA LOCAL 25;11.0;11.0;26.0;26.0;286.0;;;;
Residencial Colina Park;52;03;RUA LOCAL 25;11.0;11.0;26.0;26.0;286.0;;;;
Residencial Colina Park;52;04;RUA LOCAL 22;21.0;;;;286.5;;;;
Residencial Colina Park;52;05;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;06;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;07;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;08;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;09;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;10;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;11;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;12;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;13;RUA LOCAL 22;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;14;RUA ALIMENTADORA 12;17.5;;;;302.5;;;;
Residencial Colina Park;52;15;RUA ALIMENTADORA 12;17.5;;;;302.5;;;;
Residencial Colina Park;52;16;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;17;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;18;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;19;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;20;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;21;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;22;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;23;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;52;24;RUA LOCAL 16;12.0;12.0;22.5;22.5;270.0;;;;
Residencial Colina Park;53;01;RUA LOCAL 16;24.27;;;;425.81;;;;
Residencial Colina Park;53;02;RUA ALIMENTADORA 12;10.0;10.0;29.09;29.17;291.27;;;;
Residencial Colina Park;53;03;RUA ALIMENTADORA 12;10.0;10.0;29.01;29.09;290.47;;;;
Residencial Colina Park;53;04;RUA ALIMENTADORA 12;10.0;10.0;28.93;29.01;289.67;;;;
Residencial Colina Park;53;05;RUA ALIMENTADORA 12;10.0;;;;288.87;;;;
